created_at,tweet_id,Location,tweet_text,screen_name,name,account_creation_date,urls,Likes,Retweet
2021-03-09 11:38:36,1369251267076386821,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,afewlio,lio,Thu Dec 06 17:32:57 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:38:33,1369251256305258496,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,an0ey,You Nie,Tue Aug 11 04:14:13 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:38:30,1369251244330655745,"Lagos, Nigeria",TEKNO is really fond of Adidas sneakers,ijerebi,Joy Ijerebi,Thu Mar 24 22:35:25 +0000 2016,[],0,0
2021-03-09 11:38:30,1369251242636087298,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,petyarat,nampeung #TheShowBlackPink,Sun Sep 26 13:28:47 +0000 2010,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:38:27,1369251229906345984,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,hamachina26,ByrnesIII♥LiSa⁰³²⁷,Mon Jun 23 14:57:59 +0000 2014,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:38:25,1369251223753342976,Slytherin ,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,KristenSel,Maria 📯💛💛 -3 12/03,Mon May 07 15:29:27 +0000 2012,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:38:25,1369251220683026432,blackpink,RT @BLACKPINKFML: [INFO] @BLACKPINK on the homepage of Adidas US website! https://t.co/Smf1RhKFGW,thaliafudge,lia` ON THE GROUND soty,Sun Dec 23 02:35:27 +0000 2018,[],0,128
2021-03-09 11:38:20,1369251200793677827,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,praew37_blinK,​BLackpINK L1SA,Fri Apr 01 06:26:59 +0000 2016,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:38:18,1369251193747349506,BKK (DC-Marvel) [Naruto],RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,Zeroon3jt,JƬ•– 👑🥟💗🖤 –• #OnTheGround,Sat Dec 25 04:55:45 +0000 2010,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:38:09,1369251155918880770,DM to sign up for swim lessons,"RT @winchester_boye: Adidas massager slides available 

220 cedis

Sizes 38-46

Kindly retweet my hustle🥺 https://t.co/cceq6RnK3p",cobby__jones,Coach Cobby 🏊‍♂️,Tue May 28 20:45:49 +0000 2013,[],0,8
2021-03-09 11:38:07,1369251144925581318,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,paraleek2,paraleek,Sat Jun 30 16:34:34 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:38:02,1369251124381949954,Everywhere,RT @Dremodrizzy: Wanna walk into the bank and cash my Cheques in Adidas https://t.co/MLIbP6phO8,likklepablo,😊❤️🦅🙏🏼,Mon Aug 29 23:07:45 +0000 2016,[],0,34
2021-03-09 11:38:01,1369251123392090112,"Johannesburg, South Africa","RT @Isomibala: Hi🙋‍♀️ tweeps 
Please patronize me 🥺Manchester United Vintage Polo @N6000
Authentic Adidas Joggers @N11,000
📞/WhatsApp:08176…",Mr_MbulaziSA,MR-MBULAZI.,Fri Jun 22 17:38:40 +0000 2018,[],0,152
2021-03-09 11:38:00,1369251118056943619,J. | NVL✨,"A message to embrace all women in the world by hauling the boundaries of body conditions, skin color and religion.… https://t.co/DkNmC5rgzT",LManobaen,ً,Sat Sep 26 17:04:47 +0000 2020,"[{'url': 'https://t.co/DkNmC5rgzT', 'expanded_url': 'https://twitter.com/i/web/status/1369251118056943619', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0,0
2021-03-09 11:37:58,1369251111018856449,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,CatalinaLaime,Catalina parpadea 💕,Thu Nov 03 18:32:10 +0000 2016,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:37:55,1369251098427596803,Travel Nursing in Wisco,"RT @Partner4Dignity: Fashion brands, like: 
@hm 
@nike 
@primark 
@zara
@gap
@UnderArmour
@Adidas
...have been paying the women who sew the…",clancypants2u,Clementine 🍊,Thu Apr 07 19:39:06 +0000 2011,[],0,9
2021-03-09 11:37:55,1369251096166871040,UK,RT @NathDonohoe: Adidas Wien turned up today @adiFamily_ #adidaswien https://t.co/sRC3q0Fatt,adiFamily_,adiFamily,Sat Apr 04 13:10:05 +0000 2020,[],0,1
2021-03-09 11:37:55,1369251094535299077,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,pinya_pc,pinya,Fri Nov 02 06:21:53 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:37:54,1369251093109235716,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,AngelLILI0327,Fangirrrl👒,Sun Dec 16 12:14:36 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:37:53,1369251089955123203,,"RT @US_Blinks: The US Adidas website is filled with Blackpink! Head to the Adidas site &amp; buy all the clothes that the girls wear 💕

🔗: http…",louis080703,louis,Sat Jul 18 13:07:27 +0000 2020,[],0,39
2021-03-09 11:37:53,1369251086037622784,🇵🇭,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,allyxblink,ally,Fri Jul 31 08:47:10 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:37:40,1369251031742349319,manchester,"@LaganMakin Adidas predator, they were mint last time I played 👍🏻😂",Rjam33,Ricardo,Tue Nov 25 06:23:28 +0000 2014,[],0,0
2021-03-09 11:37:36,1369251016428847110,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,nothininteres,Humility,Fri May 05 14:49:10 +0000 2017,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:37:36,1369251016416190466,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,bpropark,CHUCHU,Thu Aug 27 00:41:14 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:37:30,1369250989757370373,Nigeria,RT @Dremodrizzy: Wanna walk into the bank and cash my Cheques in Adidas https://t.co/MLIbP6phO8,cyrocboy,Cyrocboy,Thu Jul 02 23:10:52 +0000 2020,[],0,34
2021-03-09 11:37:26,1369250974666219520,she!her,RT @LHCFEED: #haechan’s selfies in @adidas https://t.co/MAh51wGFMo,d0hyuckse,.,Wed Jan 20 00:47:25 +0000 2021,[],0,1616
2021-03-09 11:37:19,1369250945448648710,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,muyjing,MookMuy,Thu Jul 01 07:46:55 +0000 2010,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:37:15,1369250930055593988,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,arr_yel,Arr Yel,Wed Mar 28 10:20:31 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:37:10,1369250906236063744,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,jrjk01996,jljr0808,Sat Feb 29 15:57:43 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:37:00,1369250866843246596,,Nike and Adidas? Sue me. https://t.co/Bx1Kitl1yH,JamieFisher1994,Jamie Fisher,Thu Dec 01 17:34:45 +0000 2011,[],0,0
2021-03-09 11:36:59,1369250860639784965,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,OT4istheKEY,ROSÉ IS COMING🌹🌹,Mon Jun 29 04:49:14 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:58,1369250857502531584,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,dd29781,dd2978,Tue Oct 13 13:23:53 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:56,1369250850267295744,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,ninixrosie,ninixrosie,Fri Aug 28 04:47:43 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:56,1369250849948528642,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,Krcamel24,krcamel24,Wed Oct 25 08:56:38 +0000 2017,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:56,1369250848182657027,ประเทศไทย,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,Jelly_ann29,Ann🖤💗,Thu Mar 04 08:03:01 +0000 2021,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:55,1369250842709286915,,RT @Dremodrizzy: Wanna walk into the bank and cash my Cheques in Adidas https://t.co/MLIbP6phO8,officialisaac77,officialisaac77ℹ️😈,Sun Oct 04 20:45:56 +0000 2020,[],0,34
2021-03-09 11:36:48,1369250816394207235,"Oyo, Nigeria",RT @Dremodrizzy: Wanna walk into the bank and cash my Cheques in Adidas https://t.co/MLIbP6phO8,Timideyforyo,Daddy TimTim🎓👑💡🇳🇬,Fri Nov 01 00:19:11 +0000 2019,[],0,34
2021-03-09 11:36:47,1369250813260992520,your heart,RT @Dremodrizzy: Wanna walk into the bank and cash my Cheques in Adidas https://t.co/MLIbP6phO8,badmanjimmie,Jimmy,Wed Jan 13 10:53:10 +0000 2021,[],0,34
2021-03-09 11:36:47,1369250809892995090,"Lagos, Nigeria",RT @Dremodrizzy: Wanna walk into the bank and cash my Cheques in Adidas https://t.co/MLIbP6phO8,Chukwuebukaejik,Chukwuebuka,Wed Sep 04 09:26:12 +0000 2013,[],0,34
2021-03-09 11:36:45,1369250802938871810, Myanmar,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,honey_ei,Chuney HONEY,Fri Jul 26 08:22:15 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:38,1369250775063539712,island,RT @Dremodrizzy: Wanna walk into the bank and cash my Cheques in Adidas https://t.co/MLIbP6phO8,okanisamuelchi,EZEKWUECHE,Fri Feb 08 19:10:44 +0000 2019,[],0,34
2021-03-09 11:36:38,1369250773113077768,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,girana99,GRN ᵀᵉᵃᵐᴸᴵSᴬ 327,Fri Oct 28 11:54:00 +0000 2016,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:34,1369250758735003652,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,yufa_shila,yufa,Sat Mar 17 03:38:57 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:34,1369250757590056962,Indonesia,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,lisaaelka,l̺͆i̺͆s̺͆a̺͆🌨,Thu Dec 03 08:04:28 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:32,1369250749604102145,Mumbai,"If Your Kid Loves LEGOs, They’ll Love These Adidas x LEGO Sport Shoes https://t.co/ptZA8oy2ep https://t.co/3RrOCLEd4R",thereztlessmind,Suraj Nair,Mon Jul 27 19:38:23 +0000 2009,"[{'url': 'https://t.co/ptZA8oy2ep', 'expanded_url': 'http://dlvr.it/RvGYMx', 'display_url': 'dlvr.it/RvGYMx', 'indices': [70, 93]}]",0,0
2021-03-09 11:36:32,1369250747624357894,Canada,RT @Dremodrizzy: Wanna walk into the bank and cash my Cheques in Adidas https://t.co/MLIbP6phO8,pablokun13,pablo kun 💫,Fri Oct 18 08:50:36 +0000 2019,[],0,34
2021-03-09 11:36:32,1369250746277978119,"Bristol, England",RT @WETHERSP00NS: On the 22nd of June our cisterns are going to see more lines than an Adidas factory!,chriscareys,ChrisCarey,Wed Jan 29 10:57:59 +0000 2020,[],0,49
2021-03-09 11:36:25,1369250718561890310,Bangkok Thailand,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,iampaire,iPear,Sun Oct 11 09:06:02 +0000 2009,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:22,1369250708420169732,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,MoonSlayer10,ALL IS WELL!,Mon Mar 23 02:29:04 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:22,1369250706763448449,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,vanliteli,🐻🌸,Sun Apr 05 22:18:13 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:20,1369250696466493446,"I love you, Share to love",RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,todtortato,TOR,Sun Sep 28 04:51:29 +0000 2014,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:17,1369250685204697090,somewhere in 🌍,RT @Dremodrizzy: Wanna walk into the bank and cash my Cheques in Adidas https://t.co/MLIbP6phO8,OluwatobiOlase3,TOBI💭,Tue May 26 11:09:37 +0000 2020,[],0,34
2021-03-09 11:36:16,1369250682948247554,,"RT @batgrIisa: adidas korea ig update with lisa

https://t.co/PWMFRI6yie https://t.co/FYzfcsnUEv",Itsmacaria1,Itsmacaria_1202,Thu May 28 08:30:35 +0000 2020,"[{'url': 'https://t.co/PWMFRI6yie', 'expanded_url': 'https://www.instagram.com/p/CMMZ-bSFI1f/?igshid=pp5cwi4m5h5y', 'display_url': 'instagram.com/p/CMMZ-bSFI1f/…', 'indices': [49, 72]}]",0,51
2021-03-09 11:36:13,1369250670524719108,Everywhere U.S.A.,"RT @berrics: In honor of International Women's Day, Adidas has released new colorways of the Samba and Gazelle—updated for skateboarding.…",stobywan,Stobywan,Sat Jan 02 22:21:22 +0000 2021,[],0,9
2021-03-09 11:36:09,1369250653550223363,she/her 19 ,"RT @hyuckislovely: @qaaashy @hyuckuoise @NCTsmtown @NCTsmtown_127 @adidaskorea @NCTsmtown_DREAM Haechan with Adidas 

#HaechanxAdidas #Adid…",hyuckuoise,Grey,Mon Jun 15 01:34:56 +0000 2020,[],0,1
2021-03-09 11:36:08,1369250649221689354,"กรุงเทพมหานคร, ประเทศไทย",RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,Lalalalisa_M28,Nika⁰³²⁷,Sat Apr 21 03:55:47 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:03,1369250627570835459,,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,_eatsmandu,mandu,Thu Jan 21 07:09:24 +0000 2021,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:03,1369250625960079372, 🇵🇭,RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,_jingdeuk,𝙹𝙸𝙽𝙶ᵒᵗ⁴ || 𝑅𝑆1 𝒾𝓈 𝒸ℴ𝓂𝒾𝓃ℊ...💜,Thu Nov 05 16:50:10 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
2021-03-09 11:36:02,1369250624177463296,she/her 19 ,"RT @hyuckislovely: @lovesicung @hyuckuoise @adidaskorea @NCTsmtown_DREAM @NCTsmtown @NCTsmtown_127 Haechan with Adidas!

#HaechanxAdidas #A…",hyuckuoise,Grey,Mon Jun 15 01:34:56 +0000 2020,[],0,1
2021-03-09 11:36:00,1369250613192781825,"Hà Nội, Việt Nam",RT @billboard: BLACKPINK stars in the new Adidas campaign   https://t.co/iqfyCwkffL,lhino1102,lhino_fansé,Tue Jul 03 02:20:08 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877
